"","avg_1","avg_2","avg_3","med_1","med_2","med_3","var_1","var_2","var_3"
"73",1000.71634615385,217.778846153846,134.920673076923,450,94,54,1811104.90247915,93456.3316960148,33004.9358607507
"74",1022.28846153846,231.447115384615,134.25,372,100,55.5,2100932.59128823,94362.430931418,28620.0481927711
"75",974.473557692308,211.399038461538,136.872596153846,377,84.5,57.5,1860672.13423888,81666.3946014829,31565.1331267377
"76",969.069711538462,213.319711538462,136.057692307692,402.5,95,57,1770187.09151413,73952.9409117238,32910.4207599629
"77",1058.44230769231,233.004807692308,131.8125,480,89.5,54.5,1950747.97738647,106985.662627433,32371.9310240964
"78",941.427884615385,222.435096153846,136.944711538462,390,90,53.5,1544752.83334106,97644.8246930028,33526.7077791937
"79",1000.13461538462,222.362980769231,142.788461538462,427,97,63,1860195.53846154,81504.1787708526,34612.2153846154
"80",961.040865384615,221.627403846154,141.055288461538,402,88,57.5,2082615.90435009,128174.754813485,43061.7294659407
"81",896.435096153846,212.802884615385,125.519230769231,394.5,84,54,1576530.17890987,91387.2285217794,27639.1273401298
"82",908.074519230769,222.408653846154,140.324519230769,377.5,91.5,53,1309578.09322868,109291.321756256,39920.9137106117
"83",961.350961538462,208.838942307692,135.007211538462,411.5,94,51.5,1751753.0958063,83533.2342388786,35262.0071767841
"84",928.930288461538,212.701923076923,136.377403846154,436,83,55.5,1384889.11079124,88428.7109360519,33450.2548134847
"85",936.512019230769,205.161057692308,134.170673076923,394.5,84,52.5,1822714.40467447,73241.0511063485,32764.228631835
"86",918.875,208.987980769231,135.836538461538,410,86.5,57,1354392.88554217,71420.1323853105,30907.3515291937
"87",1011.61538461538,224.338942307692,139.307692307692,383,93,60,2181009.76978684,102113.901708758,39012.203892493
"88",976.927884615385,212.189903846154,132.992788461538,382,90,46.5,1907863.9610519,94347.7542110751,45534.9276587118
"89",926.475961538462,235.401442307692,131.185096153846,424,85,59.5,1480646.93436052,109463.334841288,30564.1945725209
"90",1038.57692307692,221.564903846154,139.646634615385,401.5,94,55,1939574.35551437,92458.3524038461,39566.5085669601
"91",969.225961538462,219.242788461538,128.84375,374.5,95.5,52.5,1680754.99460148,87911.9625984708,31852.9225150602
"92",872.456730769231,212.403846153846,136.46875,417.5,90,56,1466606.41740037,78210.993141798,39094.6399849398
"93",959.206730769231,216.641826923077,140.254807692308,404,87.5,55,1486508.1692076,93617.8159812326,40169.5060009268
"94",970.28125,228.805288461538,137.319711538462,369,94,54.5,2082882.09661145,118310.971634615,38661.2348876274
"95",962.661057692308,203.877403846154,127.319711538462,419,93.5,48,1834402.41737141,76895.5873436052,29991.7409117238
"96",920.850961538462,215.108173076923,131.355769230769,372,82,49,1594209.78978221,95462.178631835,38134.171918443
"97",924.350961538462,218.480769230769,142.331730769231,409.5,82,61.5,1694100.20905931,103602.057460612,43075.0414967563
"98",1028.92788461538,214.201923076923,133.358173076923,429,91.5,63,2003748.83334106,72054.402502317,31618.0280294254
"99",1011.71153846154,217.701923076923,130.807692307692,389.5,92.5,54.5,2140868.56719184,89033.3759962929,34050.690639481
"100",943.646634615385,240.685096153846,137.331730769231,380.5,90.5,62,1696339.90133804,111833.339150834,30515.2728220575
"101",952.701923076923,222.6875,139.540865384615,392,86.5,53,1737528.45551437,108942.59126506,38793.053747683
"102",1026.87259615385,206.879807692308,137.317307692308,433.5,86,59,1849368.79577734,88594.0529888786,32218.7810009268
"103",969.579326923077,220.591346153846,133.004807692308,401,90,54.5,2204202.66357159,105606.468744208,32917.8216635774
"104",932.915865384615,219.959134615385,129.288461538462,368.5,87.5,53,1661998.87724166,101417.615193466,31027.8394810009
"105",951.721153846154,224.514423076923,135.163461538462,350,91,53.5,2026727.52205746,94033.4552131603,35500.3202038925
"106",987.603365384615,225.298076923077,136.038461538462,402,78.5,59.5,1744556.68326576,103464.229008341,33066.422613531
"107",933.144230769231,196.848557692308,126.819711538462,384.5,92,57,1617010.05143652,60026.4324316497,25575.2421165431
"108",970.728365384615,232.175480769231,127.96875,424,84,54.5,1651135.45133804,122700.848650371,28703.8472138554
"109",973.331730769231,203.266826923077,129.903846153846,467,85.5,55.5,1710708.40535218,77477.0442944856,33217.8991658943
"110",993.466346153846,223.016826923077,133.507211538462,397.5,85,58,2194824.30247915,90612.406945088,32336.9397069045
